date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,46,0,86,1,140684,0,140509,175,6158301416,0,6150640966,7660450,43774.0,43774.0,,43774.0,175.0
2020-10-18,179,1,292,0,358769,500,359269,0,15995146367,22246500,16017392867,0,44583.41263319852,44583.286804594885,44493.0,,-500.0
2020-10-14,267,0,278,1,864377,0,594377,270000,40238866808,0,27692173513,12546693295,46552.44969266882,46590.250822289556,,46469.234425925926,270000.0
2020-10-13,273,0,485,0,624888,0,624888,0,30097655763,0,30097655763,0,48164.88036736183,48164.88036736183,,,0.0
2020-10-12,283,0,368,1,794941,0,740467,54474,39566097762,0,36868839962,2697257800,49772.370228733955,49791.33433630398,,49514.59044681866,54474.0
2020-10-11,711,3,589,3,1228786,175000,1344864,58922,64027080871,9114977580,70085523400,3056535051,52105.96545777703,52113.46530206772,52085.58617142857,51874.25835850786,-116078.0
2020-10-10,397,0,446,3,950911,0,903857,47054,49578458177,0,47117809012,2460649165,52137.853255457136,52129.716329021074,,52294.15490712798,47054.0
2020-10-07,307,0,720,9,1064470,0,963092,101378,54219529973,0,49069580568,5149949405,50935.70506731049,50950.044822301505,,50799.47725344749,101378.0
2020-10-06,109,0,82,1,574837,0,574772,65,28552727651,0,28549489871,3237780,49670.99830212739,49670.98235648222,,49812.0,65.0
2020-10-05,210,27,450,1,821473,33158,804631,50000,38749835045,1583100600,38001208425,2331727220,47171.16088416783,47228.11875878508,47744.152240786534,46634.5444,16842.0
2020-10-04,171,0,85,0,204355,0,204355,0,9621174077,0,9621174077,0,47080.68839519464,47080.68839519464,,,0.0
2020-10-03,348,88,892,3,936874,179458,1084962,31370,46121701791,8932346031,53499464202,1554583620,49229.35399103828,49309.98892311436,49774.019720491706,49556.37934332164,-148088.0
2020-09-30,62,0,36,0,50572,0,50572,0,2401967712,0,2401967712,0,47496.0,47496.0,,,0.0
2020-09-29,43,0,4,0,38506,0,38506,0,1832462034,0,1832462034,0,47589.0,47589.0,,,0.0
2020-09-28,10,0,8,0,30897,0,30897,0,1472674608,0,1472674608,0,47664.0,47664.0,,,0.0
2020-09-27,51,0,4,0,49510,0,49510,0,2365835350,0,2365835350,0,47785.0,47785.0,,,0.0
2020-09-26,177,1,200,0,220804,50000,270804,0,10715088288,2421600000,13136688288,0,48527.60044202098,48509.949217884525,48432.0,,-50000.0
2020-09-23,468,3,520,4,809447,215000,880775,143672,41344715386,10882865000,44976786166,7250794220,51077.73008733123,51065.01225171014,50617.976744186046,50467.69182582549,-71328.0
2020-09-22,341,1,1165,0,2029451,50000,2079451,0,106550593565,2453450000,109004043565,0,52502.17598995985,52419.62593251777,49069.0,,-50000.0
2020-09-21,39,1,124,0,30897,300000,330897,0,1544201163,14993700000,16537901163,0,49979.0,49979.0,49979.0,,-300000.0
2020-09-20,108,1,132,2,75717,50000,125587,130,3815837136,2525000000,6334272136,6565000,50396.04231546416,50437.32341723268,50500.0,50500.0,-49870.0
2020-09-19,271,1,771,1,745575,14500,760010,65,39182045550,760868872,39939515702,3398720,52552.78885424002,52551.30288022526,52473.71531034483,52288.0,-14435.0
2020-09-16,513,41,770,0,920146,306372,1226518,0,50806585217,16699724976,67506310193,0,55215.78664364134,55038.988578235294,54508.0,,-306372.0
2020-09-15,575,2,540,5,680729,128666,809070,325,39147022530,7395968911,46524286391,18705050,57507.49935730665,57503.41304337078,57481.92149441189,57554.0,-128341.0
2020-09-14,300,26,1011,0,651323,422206,1073529,0,36162727359,23312764960,59475492319,0,55521.95663134881,55401.849711558796,55216.564804858295,,-422206.0
2020-09-13,129,0,39,0,109202,0,109202,0,6026700738,0,6026700738,0,55188.55641838061,55188.55641838061,,,0.0
2020-09-12,367,0,566,0,608186,0,608186,0,35234218495,0,35234218495,0,57933.294247154656,57933.294247154656,,,0.0
2020-09-09,342,73,931,0,854157,123735,977892,0,49609708213,7139471292,56749179505,0,58080.31569488982,58032.15437389814,57699.691211055884,,-123735.0
2020-09-08,40,0,2,0,12847,0,12847,0,740526774,0,740526774,0,57642.0,57642.0,,,0.0
2020-09-07,277,1,343,0,391129,30615,421744,0,23318328505,1800376305,25118704810,0,59617.999445195834,59559.127835843545,58807.0,,-30615.0
2020-09-06,484,2,1457,1,1761010,617234,2377854,390,108848399347,38357640204,147182816091,23223460,61810.2108148165,61897.330992987794,62144.40585580185,59547.333333333336,-616844.0
2020-09-05,272,1,680,1,408231,292199,669810,30620,24098985299,17204743760,39500606039,1803123020,59032.71750308036,58972.85206103223,58880.22806375107,58887.10058785108,-261579.0
2020-09-02,72,0,11,0,51585,0,51585,0,3047177535,0,3047177535,0,59071.0,59071.0,,,0.0
2020-09-01,140,0,148,0,165948,0,165948,0,9954877235,0,9954877235,0,59987.93137006773,59987.93137006773,,,0.0
2020-08-31,646,0,757,2,1294138,0,1281537,12601,81213867506,0,80383660318,830207188,62755.18337766142,62724.416320402765,,65884.23045790016,12601.0
2020-08-26,396,0,432,1,648771,0,641771,7000,41081987112,0,40637459112,444528000,63322.785870515174,63320.80931048614,,63504.0,7000.0
2020-08-25,725,2,747,0,962249,155847,1118096,0,58004298175,9618176243,67622474418,0,60279.92564814305,60480.025344871996,61715.504584624665,,-155847.0
2020-08-24,172,2,198,0,191417,110000,301417,0,11160290559,6405630000,17565920559,0,58303.54962725359,58277.80304030629,58233.0,,-110000.0
2020-08-23,283,0,99,1,211533,0,74689,136844,12533578031,0,4461949021,8071629010,59251.171358605985,59740.37704347361,,58984.1645231066,136844.0
2020-08-22,579,0,831,1,872480,0,822480,50000,54116472916,0,51066472916,3050000000,62026.03259215111,62088.40691080634,,61000.0,50000.0
2020-08-19,657,1,844,0,1299131,100000,1399131,0,80672642961,6180500000,86853142961,0,62097.388916899064,62076.49102264191,61805.0,,-100000.0
2020-08-18,650,0,698,1,625724,0,620450,5274,40709694987,0,40373652137,336042850,65060.146305719456,65071.564408090904,,63716.88471748199,5274.0
2020-08-17,836,0,821,2,1185395,0,969564,215831,77076946403,0,63065290723,14011655680,65022.16257281328,65045.00035376726,,64919.56984863157,215831.0
2020-08-16,426,2,194,1,332491,110000,219428,223063,22359559375,7366100000,14801698361,14923961014,67248.6153760553,67455.8322593288,66964.54545454546,66904.6906658657,113063.0
2020-08-15,391,1,424,0,370559,400000,770559,0,26152041642,28112000000,54264041642,0,70574.56880550736,70421.65705935561,70280.0,,-400000.0
2020-08-12,774,0,503,1,1014489,0,1014089,400,75050357001,0,75018977001,31380000,73978.48276422909,73976.71900691162,,78450.0,400.0
2020-08-11,745,2,1192,1,1005758,10500,1013558,2700,76953362231,795115000,77544326187,204151044,76512.80151984871,76507.04368866903,75725.23809523809,75611.49777777778,-7800.0
2020-08-10,1247,1,1942,1,2377931,5000,2377931,5000,188229082065,400300000,188227417065,401965000,79156.66268911924,79155.962500594,80060.0,80393.0,0.0
2020-08-09,1187,0,2067,1,2136453,0,2124153,12300,174769310737,0,173768090737,1001220000,81803.48958624412,81805.82601017911,,81400.0,12300.0
2020-08-05,1545,4,2284,5,2455986,887276,2906109,437153,207043899460,74571691907,244877375800,36738215567,84301.74254250636,84262.97010882937,84045.65423498438,84039.7196565047,-450123.0
2020-08-04,884,1,725,2,1114772,100000,998519,216253,98642747850,8817800000,88391790816,19068757034,88486.92634009465,88522.89322086009,88178.0,88178.0,116253.0
2020-08-03,923,1,657,1,968665,45985,1013650,1000,89947291568,4230620000,94084791568,93120000,92856.96455224458,92817.82821289399,92000.0,93120.0,-44985.0
2020-08-02,1434,5,1551,3,2493099,1043165,3028464,507800,240619112962,100836948690,291991561652,49464500000,96514.0626032099,96415.72812224283,96664.42862826111,97409.41315478535,-535365.0
2020-08-01,858,2,1055,3,1558797,100600,1154332,505065,144604499479,9341917200,107045070649,46901346030,92766.72939388515,92733.34764088668,92862.0,92862.0,404465.0
2020-07-29,1277,2,1914,4,2976021,24553,2570459,430115,263214097668,2156258720,227266821809,38103534579,88444.97322700344,88414.87913598311,87820.58078442553,88589.1786591958,405562.0
2020-07-28,1089,4,2209,1,3190418,81706,2952124,320000,269541514380,6843380556,249042814936,27342080000,84484.70212367157,84360.55360005204,83756.15690402174,85444.0,238294.0
2020-07-27,955,1,516,0,689499,6000,695499,0,56110095154,487140000,56597235154,0,81378.06603635394,81376.44360955228,81190.0,,-6000.0
