date,open,high,low,adjClose,value,volume,count,close
2020-09-12,1350.0,1350.0,1350.0,1350.0,7140150,5289,3,1350.0
2020-09-13,1410.0,1410.0,1410.0,1350.0,335354400,237840,27,1410.0
2020-09-15,1410.0,1410.0,1410.0,1350.0,82232610,58321,4,1410.0
2020-09-16,1410.0,1410.0,1410.0,1350.0,176075160,124876,4,1410.0
2020-09-19,1410.0,1410.0,1410.0,1350.0,129471840,91824,5,1410.0
2020-09-20,1410.0,1410.0,1410.0,1350.0,269126700,190870,7,1410.0
2020-09-21,1410.0,1410.0,1410.0,1350.0,122605140,86954,3,1410.0
2020-09-22,1410.0,1410.0,1410.0,1350.0,37872600,26860,13,1410.0
2020-09-23,1410.0,1410.0,1410.0,1350.0,234968040,166644,6,1410.0
2020-09-26,1410.0,1410.0,1410.0,1350.0,2608277220,1849842,65,1410.0
2020-09-27,1410.0,1410.0,1410.0,1350.0,3740937270,2653147,68,1410.0
2020-09-28,1410.0,1410.0,1410.0,1350.0,2263935480,1605628,55,1410.0
2020-09-29,1410.0,1410.0,1410.0,1350.0,2706850320,1919752,45,1410.0
2020-09-30,1410.0,1410.0,1410.0,1350.0,2162645310,1533791,69,1410.0
2020-10-03,1410.0,1410.0,1410.0,1350.0,3998979960,2836156,74,1410.0
2020-10-04,1410.0,1410.0,1410.0,1360.0,5172163410,3668201,114,1410.0
2020-10-05,1420.0,1420.0,1420.0,1360.0,3292480160,2318648,58,1420.0
2020-10-06,1420.0,1420.0,1420.0,1370.0,4760574140,3352517,115,1420.0
